Technology                                  ,Long haul   ,Regional delivery ,Urban delivery ,Municipal utility ,Construction
Standard technology                         ,857.1428571 ,      857.1428571 ,   857.1428571 ,---               ,---
"Standard technology - LED headlights, all" ,785.7142857 ,      785.7142857 ,   785.7142857 ,---               ,---
