Technology                                  ,Long haul ,Regional delivery ,Urban delivery ,Municipal utility ,Construction
Standard technology                         ,1714.2857 ,        1428.5714 ,     1428.5714 ,        1428.5714 ,   1428.5714
"Standard technology - LED headlights, all" ,1642.8571 ,        1357.1429 ,     1357.1429 ,        1357.1429 ,   1357.1429
