DeltaEnergyBat: 499683650725.3379 [Ws] / 138801.01409037164
timeFCCanIncrease: 4521.4081 [s]
Time, dt, Distance, P_el_dem, P_FC_raw, P_FC, P_Bat_T, P_Bat_loss, P_FC_corr, delta_Power_corr, P_REESS_int, SoC, CanChangeFCPower, FCPowerFinal
0.50,1.00, 0.00, 0.00, 115523.68, 115523.68,115523.68, 984.74, 116508.42, 116508.42, 114538.94, 0.53, True, 9072.88
1.35,0.71, 0.25, -24364.70, 115523.68, 115523.68,91158.97, 615.36, 116139.04, 91774.34, 90543.61, 0.54, True, 9269.79
1.90,0.39, 0.60, -50944.63, 115523.68, 115523.68,64579.05, 310.04, 115833.72, 64889.09, 64269.01, 0.55, True, 9483.26
2.31,0.42, 1.15, -62619.75, 115523.68, 115523.68,52903.92, 208.43, 115732.11, 53112.35, 52695.49, 0.55, True, 9576.75
2.74,0.44, 1.91, -70414.80, 115523.68, 115523.68,45108.87, 151.71, 115675.39, 45260.58, 44957.16, 0.55, True, 9639.13
3.18,0.45, 2.89, -87560.80, 115523.68, 115523.68,27962.88, 58.45, 115582.12, 28021.33, 27904.43, 0.56, True, 9776.23
3.63,0.46, 4.09, -104755.88, 115523.68, 115523.68,10767.79, 8.69, 115532.37, 10776.48, 10759.10, 0.56, True, 9913.77
4.09,0.46, 5.52, -121808.60, 115523.68, 115523.68,-6284.92, 2.97, 115526.65, -6281.96, -6287.89, 0.56, True, 10050.39
4.56,0.47, 7.18, -139321.57, 115523.68, 115523.68,-23797.89, 42.66, 115566.34, -23755.23, -23840.55, 0.56, True, 10191.08
5.03,0.47, 9.08, -157452.81, 115523.68, 115523.68,-41929.14, 132.80, 115656.48, -41796.34, -42061.94, 0.55, True, 10337.38
5.58,0.64, 12.00, -178757.80, 115523.68, 115523.68,-63234.12, 303.02, 115826.70, -62931.10, -63537.14, 0.54, True, 10510.38
6.14,0.48, 14.45, -200307.34, 115523.68, 115523.68,-84783.66, 546.54, 116070.21, -84237.12, -85330.20, 0.53, True, 10686.89
6.62,0.48, 17.14, -219234.61, 115523.68, 115523.68,-103710.93, 820.17, 116343.85, -102890.76, -104531.10, 0.52, True, 10843.50
7.09,0.48, 20.06, -238287.16, 115523.68, 115523.68,-122763.48, 1152.58, 116676.25, -121610.91, -123916.06, 0.51, True, 11002.90
7.58,0.48, 23.23, -257511.50, 115523.68, 115523.68,-141987.82, 1546.41, 117070.09, -140441.41, -143534.24, 0.49, True, 11165.78
8.06,0.48, 26.64, -277081.17, 115523.68, 115523.68,-161557.49, 2008.16, 117531.84, -159549.33, -163565.65, 0.48, True, 11333.98
8.54,0.48, 30.29, -291075.41, 115523.68, 115523.68,-175551.74, 2376.31, 117899.99, -173175.43, -177928.04, 0.46, True, 11455.87
9.03,0.49, 34.18, -302082.02, 115523.68, 115523.68,-186558.35, 2688.25, 118211.93, -183870.09, -189246.60, 0.44, True, 11552.74
9.51,0.49, 38.30, -312130.08, 115523.68, 115523.68,-196606.40, 2990.34, 118514.02, -193616.06, -199596.74, 0.41, True, 11642.00
10.00,0.49, 42.64, -321139.04, 115523.68, 115523.68,-205615.36, 3275.31, 118798.99, -202340.05, -208890.67, 0.39, True, 11722.74
10.49,0.49, 47.21, -329107.21, 115523.68, 115523.68,-213583.54, 3538.52, 119062.20, -210045.01, -217122.06, 0.37, True, 11794.72
10.98,0.49, 52.00, -336180.38, 115523.68, 115523.68,-220656.71, 3780.99, 119304.67, -216875.71, -224437.70, 0.34, True, 11859.07
11.47,0.49, 56.99, -342283.59, 115523.68, 115523.68,-226759.91, 3996.90, 119520.58, -222763.01, -230756.81, 0.32, True, 11914.94
11.96,0.49, 62.20, -347709.10, 115523.68, 115523.68,-232185.43, 4194.05, 119717.73, -227991.37, -236379.48, 0.29, True, 11964.89
12.45,0.49, 67.60, -352312.75, 115523.68, 115523.68,-236789.07, 4365.20, 119888.88, -232423.87, -241154.27, 0.27, True, 12007.46
12.94,0.49, 73.20, -356329.46, 115523.68, 115523.68,-240805.78, 4517.43, 120041.11, -236288.35, -245323.21, 0.24, True, 12044.74
13.43,0.49, 79.00, -359699.64, 115523.68, 115523.68,-244175.96, 4647.25, 120170.93, -239528.71, -248823.21, 0.21, True, 12076.12
13.92,0.49, 84.98, -362506.05, 115523.68, 115523.68,-246982.37, 4756.81, 120280.49, -242225.56, -251739.18, 0.19, True, 12102.29
14.41,0.49, 91.14, -364683.34, 115523.68, 115523.68,-249159.66, 4842.73, 120366.40, -244316.93, -254002.39, 0.16, True, 12122.61
14.91,0.49, 97.49, -366288.98, 115523.68, 115523.68,-250765.31, 4906.60, 120430.27, -245858.71, -255671.90, 0.13, True, 12137.55
15.40,0.49, 104.00, -367362.06, 115523.68, 115523.68,-251838.38, 4949.52, 120473.20, -246888.86, -256787.91, 0.10, True, 12147.48
15.90,0.49, 110.69, -367949.88, 115523.68, 115523.68,-252426.21, 4973.12, 120496.80, -247453.08, -257399.33, 0.07, True, 12152.83
16.39,0.50, 117.54, 23172.09, 115523.68, 115523.68,138695.77, 1414.61, 116938.29, 140110.38, 137281.16, 0.09, True, 8888.32
16.89,0.50, 124.38, -3135.17, 115523.68, 115523.68,112388.51, 932.44, 116456.12, 113320.95, 111456.07, 0.10, True, 9101.59
17.39,0.49, 131.23, -350977.83, 115523.68, 115523.68,-235454.16, 4315.21, 119838.88, -231138.95, -239769.36, 0.08, True, 11992.93
17.88,0.49, 138.24, -349638.62, 115523.68, 115523.68,-234114.94, 4265.35, 119789.03, -229849.59, -238380.30, 0.05, True, 11980.28
18.38,0.49, 145.41, -347842.26, 115523.68, 115523.68,-232318.58, 4198.95, 119722.63, -228119.63, -236517.53, 0.02, True, 11963.42
18.87,0.49, 152.73, -345952.36, 115523.68, 115523.68,-230428.68, 4129.68, 119653.35, -226299.01, -234558.36, -0.00, True, 11945.73
19.37,0.50, 160.19, -343785.87, 115523.68, 115523.68,-228262.19, 4051.00, 119574.68, -224211.19, -232313.19, -0.03, True, 11925.54
19.86,0.50, 167.81, -341102.60, 115523.68, 115523.68,-225578.92, 3954.64, 119478.31, -221624.28, -229533.56, -0.05, True, 11900.64
20.36,0.50, 175.57, -337934.45, 115523.68, 115523.68,-222410.77, 3842.41, 119366.09, -218568.36, -226253.18, -0.08, True, 11871.37
20.85,0.50, 183.46, -334500.63, 115523.68, 115523.68,-218976.95, 3722.66, 119246.34, -215254.29, -222699.61, -0.10, True, 11839.79
21.35,0.50, 191.49, -330823.45, 115523.68, 115523.68,-215299.78, 3596.59, 119120.27, -211703.18, -218896.37, -0.13, True, 11806.11
21.85,0.50, 199.66, -326909.53, 115523.68, 115523.68,-211385.85, 3464.88, 118988.56, -207920.98, -214850.73, -0.15, True, 11770.42
22.34,0.50, 207.95, -322811.29, 115523.68, 115523.68,-207287.62, 3329.68, 118853.36, -203957.94, -210617.29, -0.17, True, 11733.21
22.84,0.50, 216.36, -324294.95, 115523.68, 115523.68,-208771.27, 3378.30, 118901.98, -205392.96, -212149.57, -0.20, True, 11746.41
23.34,0.50, 224.90, -328583.79, 115523.68, 115523.68,-213060.11, 3520.91, 119044.59, -209539.20, -216581.02, -0.22, True, 11785.01
23.83,0.50, 233.57, -332777.99, 115523.68, 115523.68,-217254.32, 3663.32, 119187.00, -213590.99, -220917.64, -0.24, True, 11822.91
24.33,0.50, 242.35, -336931.16, 115523.68, 115523.68,-221407.48, 3807.22, 119330.90, -217600.26, -225214.70, -0.27, True, 11860.60
24.82,0.50, 251.27, -340942.55, 115523.68, 115523.68,-225418.88, 3948.93, 119472.61, -221469.95, -229367.80, -0.29, True, 11897.14
25.32,0.50, 260.30, -344870.32, 115523.68, 115523.68,-229346.64, 4090.28, 119613.96, -225256.36, -233436.93, -0.32, True, 11933.07
25.82,0.50, 269.46, -348702.95, 115523.68, 115523.68,-233179.27, 4230.70, 119754.38, -228948.57, -237409.97, -0.35, True, 11968.26
26.31,0.50, 278.75, -352424.48, 115523.68, 115523.68,-236900.80, 4369.40, 119893.08, -232531.40, -241270.20, -0.37, True, 12002.55
26.81,0.50, 288.16, -356127.99, 115523.68, 115523.68,-240604.31, 4509.73, 120033.41, -236094.58, -245114.04, -0.40, True, 12036.82
27.31,0.50, 297.69, -359838.56, 115523.68, 115523.68,-244314.88, 4652.64, 120176.32, -239662.24, -248967.52, -0.43, True, 12071.28
27.80,0.50, 307.35, -363558.50, 115523.68, 115523.68,-248034.82, 4798.24, 120321.92, -243236.58, -252833.06, -0.45, True, 12105.98
28.30,0.50, 317.13, -367398.90, 115523.68, 115523.68,-251875.22, 4951.00, 120474.68, -246924.22, -256826.22, -0.48, True, 12141.95
28.80,0.50, 327.03, -371185.20, 115523.68, 115523.68,-255661.52, 5104.05, 120627.73, -250557.47, -260765.57, -0.51, True, 12177.56
29.30,0.50, 337.06, -374867.16, 115523.68, 115523.68,-259343.48, 5255.20, 120778.88, -254088.27, -264598.68, -0.54, True, 12212.33
29.79,0.50, 347.22, -378595.26, 115523.68, 115523.68,-263071.59, 5410.60, 120934.27, -257660.99, -268482.18, -0.57, True, 12247.69
30.29,0.50, 357.50, -382465.71, 115523.68, 115523.68,-266942.03, 5574.42, 121098.10, -261367.61, -272516.45, -0.60, True, 12284.57
30.79,0.50, 367.90, -386698.57, 115523.68, 115523.68,-271174.89, 5756.50, 121280.18, -265418.39, -276931.40, -0.63, True, 12325.11
31.28,0.50, 378.43, -391983.18, 115523.68, 115523.68,-276459.51, 5988.11, 121511.79, -270471.39, -282447.62, -0.66, True, 12376.08
31.78,0.50, 389.08, -397944.33, 115523.68, 115523.68,-282420.66, 6255.11, 121778.79, -276165.55, -288675.77, -0.69, True, 12433.99
32.28,0.50, 399.85, -405259.36, 115523.68, 115523.68,-289735.68, 6591.07, 122114.75, -283144.61, -296326.75, -0.73, True, 12505.70
32.77,0.50, 410.75, -413120.92, 115523.68, 115523.68,-297597.24, 6962.40, 122486.08, -290634.84, -304559.64, -0.76, True, 12583.52
33.27,0.50, 421.78, -421622.48, 115523.68, 115523.68,-306098.80, 7375.98, 122899.65, -298722.83, -313474.78, -0.79, True, 12668.58
33.77,0.50, 432.92, -430342.97, 115523.68, 115523.68,-314819.30, 7813.23, 123336.91, -307006.07, -322632.52, -0.83, True, 12756.83
34.27,0.50, 444.20, -439246.77, 115523.68, 115523.68,-323723.10, 8273.34, 123797.02, -315449.75, -331996.44, -0.87, True, 12847.99
34.76,0.50, 455.59, -443058.77, 115523.68, 115523.68,-327535.09, 8474.57, 123998.25, -319060.52, -336009.67, -0.90, True, 12887.18
35.26,0.50, 467.11, -443069.16, 115523.68, 115523.68,-327545.48, 8475.12, 123998.80, -319070.35, -336020.60, -0.94, True, 12886.98
35.76,0.50, 478.75, -442987.50, 115523.68, 115523.68,-327463.83, 8470.79, 123994.46, -318993.04, -335934.61, -0.98, True, 12885.83
36.26,0.50, 490.51, 6621.09, 115523.68, 115523.68,122144.77, 1099.79, 116623.46, 123244.55, 121044.98, -0.96, True, 9027.11
36.76,0.50, 502.27, -4589.13, 115523.68, 115523.68,110934.55, 908.67, 116432.34, 111843.21, 110025.88, -0.95, True, 9117.36
37.26,0.50, 514.02, -202037.97, 115523.68, 115523.68,-86514.29, 569.23, 116092.91, -85945.06, -87083.52, -0.96, True, 10696.26
37.76,0.50, 525.83, -13404.42, 115523.68, 115523.68,102119.26, 770.99, 116294.66, 102890.25, 101348.28, -0.95, True, 9188.20
38.26,0.50, 537.63, -13936.94, 115523.68, 115523.68,101586.73, 763.03, 116286.70, 102349.76, 100823.71, -0.94, True, 9192.55
38.76,0.50, 549.44, -14952.83, 115523.68, 115523.68,100570.85, 747.95, 116271.63, 101318.80, 99822.89, -0.93, True, 9200.77
39.26,0.50, 561.24, -16752.51, 115523.68, 115523.68,98771.17, 721.61, 116245.29, 99492.78, 98049.55, -0.92, True, 9215.25
39.76,0.50, 573.05, -18392.27, 115523.68, 115523.68,97131.41, 698.02, 116221.70, 97829.43, 96433.39, -0.91, True, 9228.44
40.26,0.50, 584.85, -19746.74, 115523.68, 115523.68,95776.94, 678.83, 116202.50, 96455.77, 95098.12, -0.90, True, 9239.35
40.76,0.50, 596.66, -19634.30, 115523.68, 115523.68,95889.38, 680.41, 116204.09, 96569.79, 95208.97, -0.89, True, 9238.54
41.26,0.50, 608.46, -18639.36, 115523.68, 115523.68,96884.31, 694.50, 116218.18, 97578.81, 96189.81, -0.87, True, 9230.67
41.76,0.50, 620.27, -16107.40, 115523.68, 115523.68,99416.27, 731.00, 116254.68, 100147.28, 98685.27, -0.86, True, 9210.53
42.26,0.50, 632.08, -13218.21, 115523.68, 115523.68,102305.47, 773.78, 116297.46, 103079.25, 101531.69, -0.85, True, 9187.53
42.76,0.50, 643.88, -11525.18, 115523.68, 115523.68,103998.50, 799.40, 116323.08, 104797.90, 103199.09, -0.84, True, 9174.08
43.26,0.50, 655.69, -11525.18, 115523.68, 115523.68,103998.50, 799.40, 116323.08, 104797.90, 103199.09, -0.83, True, 9174.17
43.76,0.50, 667.49, -11525.18, 115523.68, 115523.68,103998.50, 799.40, 116323.08, 104797.90, 103199.09, -0.82, True, 9174.26
44.26,0.50, 679.30, -11525.18, 115523.68, 115523.68,103998.50, 799.40, 116323.08, 104797.90, 103199.09, -0.81, True, 9174.36
44.76,0.50, 691.10, -11525.18, 115523.68, 115523.68,103998.50, 799.40, 116323.08, 104797.90, 103199.09, -0.80, True, 9174.45
45.26,0.50, 702.91, -11525.18, 115523.68, 115523.68,103998.50, 799.40, 116323.08, 104797.90, 103199.09, -0.78, True, 9174.54
45.76,0.50, 714.71, -7254.08, 115523.68, 115523.68,108269.60, 865.87, 116389.55, 109135.47, 107403.73, -0.77, True, 9140.47
46.26,0.50, 726.52, -5863.68, 115523.68, 115523.68,109660.00, 888.07, 116411.75, 110548.07, 108771.93, -0.76, True, 9129.43
46.76,0.50, 738.33, -5625.82, 115523.68, 115523.68,109897.86, 891.90, 116415.57, 110789.76, 109005.96, -0.75, True, 9127.63
47.26,0.50, 750.13, -6751.44, 115523.68, 115523.68,108772.23, 873.86, 116397.54, 109646.10, 107898.37, -0.74, True, 9136.74
47.76,0.50, 761.94, -10176.31, 115523.68, 115523.68,105347.37, 820.11, 116343.79, 106167.48, 104527.25, -0.72, True, 9164.22
48.26,0.50, 773.74, -13618.51, 115523.68, 115523.68,101905.17, 767.78, 116291.46, 102672.95, 101137.39, -0.71, True, 9191.82
48.76,0.50, 785.55, -17017.10, 115523.68, 115523.68,98506.58, 717.78, 116241.46, 99224.36, 97788.80, -0.70, True, 9219.03
49.26,0.50, 797.35, -19441.29, 115523.68, 115523.68,96082.39, 683.13, 116206.81, 96765.52, 95399.26, -0.69, True, 9238.45
49.76,0.50, 809.16, -22139.93, 115523.68, 115523.68,93383.75, 645.55, 116169.23, 94029.30, 92738.19, -0.68, True, 9260.03
50.26,0.50, 820.96, -25088.12, 115523.68, 115523.68,90435.56, 605.70, 116129.37, 91041.25, 89829.86, -0.67, True, 9283.59
50.76,0.50, 832.77, -28595.95, 115523.68, 115523.68,86927.73, 559.91, 116083.59, 87487.64, 86367.82, -0.66, True, 9311.57
51.26,0.50, 844.58, -32609.12, 115523.68, 115523.68,82914.56, 509.71, 116033.38, 83424.27, 82404.85, -0.65, True, 9343.55
51.76,0.50, 856.38, -37260.35, 115523.68, 115523.68,78263.33, 454.44, 115978.11, 78717.76, 77808.89, -0.64, True, 9380.55
52.26,0.50, 868.19, -41928.96, 115523.68, 115523.68,73594.72, 402.11, 115925.79, 73996.83, 73192.61, -0.64, True, 9417.66
52.76,0.50, 879.99, -46211.01, 115523.68, 115523.68,69312.67, 356.91, 115880.58, 69669.57, 68955.76, -0.63, True, 9451.66
53.26,0.50, 891.80, -48737.02, 115523.68, 115523.68,66786.66, 331.49, 115855.17, 67118.15, 66455.17, -0.62, True, 9471.73
53.76,0.50, 903.60, -48841.09, 115523.68, 115523.68,66682.59, 330.46, 115854.14, 67013.05, 66352.12, -0.61, True, 9472.62
54.26,0.50, 915.41, -48660.39, 115523.68, 115523.68,66863.29, 332.25, 115855.93, 67195.54, 66531.04, -0.61, True, 9471.24
54.76,0.50, 927.21, -45104.45, 115523.68, 115523.68,70419.22, 368.33, 115892.01, 70787.56, 70050.89, -0.60, True, 9443.14
55.26,0.50, 939.02, -38995.78, 115523.68, 115523.68,76527.90, 434.62, 115958.29, 76962.52, 76093.28, -0.59, True, 9394.80
55.76,0.50, 950.83, -32379.72, 115523.68, 115523.68,83143.95, 512.51, 116036.19, 83656.47, 82631.44, -0.58, True, 9342.39
56.26,0.50, 962.63, -25809.87, 115523.68, 115523.68,89713.81, 596.13, 116119.81, 90309.94, 89117.68, -0.57, True, 9290.29
56.76,0.50, 974.44, -21600.87, 115523.68, 115523.68,93922.81, 652.98, 116176.65, 94575.79, 93269.83, -0.56, True, 9256.91
57.26,0.50, 986.24, -19198.48, 115523.68, 115523.68,96325.19, 686.56, 116210.24, 97011.76, 95638.63, -0.55, True, 9237.88
57.76,0.50, 998.05, -19141.61, 115523.68, 115523.68,96382.07, 687.37, 116211.05, 97069.44, 95694.70, -0.54, True, 9237.52
58.26,0.50, 1009.85, -19154.54, 115523.68, 115523.68,96369.13, 687.19, 116210.86, 97056.32, 95681.95, -0.53, True, 9237.71
58.76,0.50, 1021.66, -18556.96, 115523.68, 115523.68,96966.72, 695.67, 116219.35, 97662.39, 96271.04, -0.52, True, 9233.04
59.26,0.50, 1033.46, -16803.72, 115523.68, 115523.68,98719.96, 720.87, 116244.55, 99440.83, 97999.08, -0.51, True, 9219.17
59.76,0.50, 1045.27, -14288.37, 115523.68, 115523.68,101235.31, 757.80, 116281.47, 101993.10, 100477.51, -0.50, True, 9199.24
60.26,0.50, 1057.08, -11950.48, 115523.68, 115523.68,103573.20, 792.93, 116316.61, 104366.13, 102780.27, -0.49, True, 9180.71
60.76,0.50, 1068.88, -9792.49, 115523.68, 115523.68,105731.19, 826.05, 116349.73, 106557.24, 104905.14, -0.47, True, 9163.60
61.26,0.50, 1080.69, -7956.42, 115523.68, 115523.68,107567.26, 854.76, 116378.44, 108422.02, 106712.50, -0.46, True, 9149.06
61.76,0.50, 1092.49, -5206.08, 115523.68, 115523.68,110317.60, 898.67, 116422.35, 111216.27, 109418.93, -0.45, True, 9127.22
62.26,0.50, 1104.30, -1736.41, 115523.68, 115523.68,113787.27, 955.60, 116479.28, 114742.87, 112831.67, -0.44, True, 9099.62
62.76,0.50, 1116.10, 3080.46, 115523.68, 115523.68,118604.14, 1037.49, 116561.16, 119641.63, 117566.65, -0.42, True, 9061.22
63.26,0.50, 1127.91, 9080.09, 115523.68, 115523.68,124603.77, 1144.10, 116667.78, 125747.87, 123459.67, -0.41, True, 9013.28
63.76,0.50, 1139.71, 15080.31, 115523.68, 115523.68,130603.98, 1255.84, 116779.52, 131859.82, 129348.14, -0.40, True, 8965.26
64.26,0.50, 1151.52, 20229.18, 115523.68, 115523.68,135752.86, 1355.79, 116879.47, 137108.65, 134397.06, -0.38, True, 8923.98
64.76,0.50, 1163.33, 24327.35, 115523.68, 115523.68,139851.03, 1438.03, 116961.71, 141289.06, 138413.00, -0.37, True, 8891.10
65.26,0.50, 1175.13, 28691.35, 115523.68, 115523.68,144215.03, 1528.21, 117051.88, 145743.24, 142686.82, -0.35, True, 8856.03
65.76,0.50, 1186.94, 33041.88, 115523.68, 115523.68,148565.56, 1620.77, 117144.45, 150186.33, 146944.78, -0.33, True, 8821.00
66.26,0.50, 1198.74, 34124.51, 115523.68, 115523.68,149648.19, 1644.22, 117167.90, 151292.41, 148003.96, -0.32, True, 8812.38
66.76,0.50, 1210.55, 43348.32, 115523.68, 115523.68,158872.00, 1850.68, 117374.36, 160722.68, 157021.32, -0.30, True, 8737.73
67.26,0.50, 1222.35, 54898.32, 115523.68, 115523.68,170421.99, 2125.99, 117649.67, 172547.99, 168296.00, -0.28, True, 8643.78
67.76,0.50, 1234.16, 61993.74, 115523.68, 115523.68,177517.42, 2304.34, 117828.02, 179821.76, 175213.07, -0.26, True, 8585.86
68.26,0.50, 1245.96, 68014.14, 115523.68, 115523.68,183537.82, 2461.16, 117984.83, 185998.98, 181076.66, -0.24, True, 8536.57
68.76,0.50, 1257.77, 69993.81, 115523.68, 115523.68,185517.49, 2513.82, 118037.50, 188031.31, 183003.67, -0.22, True, 8520.44
69.26,0.50, 1269.58, 69947.50, 115523.68, 115523.68,185471.17, 2512.58, 118036.26, 187983.75, 182958.59, -0.20, True, 8520.99
69.76,0.50, 1281.38, 67037.67, 115523.68, 115523.68,182561.35, 2435.38, 117959.06, 184996.73, 180125.97, -0.18, True, 8545.10
70.26,0.50, 1293.19, 64420.93, 115523.68, 115523.68,179944.60, 2366.96, 117890.64, 182311.56, 177577.64, -0.16, True, 8566.76
70.76,0.50, 1304.99, 62283.43, 115523.68, 115523.68,177807.11, 2311.77, 117835.45, 180118.89, 175495.34, -0.14, True, 8584.45
71.26,0.50, 1316.80, 61945.62, 115523.68, 115523.68,177469.30, 2303.11, 117826.79, 179772.41, 175166.19, -0.12, True, 8587.38
71.76,0.50, 1328.60, 62248.64, 115523.68, 115523.68,177772.32, 2310.88, 117834.56, 180083.20, 175461.44, -0.10, True, 8585.06
72.26,0.50, 1340.41, 63077.70, 115523.68, 115523.68,178601.38, 2332.21, 117855.88, 180933.59, 176269.17, -0.08, True, 8578.43
72.76,0.50, 1352.21, 63986.56, 115523.68, 115523.68,179510.24, 2355.69, 117879.37, 181865.94, 177154.55, -0.06, True, 8571.14
73.26,0.50, 1364.02, 64905.90, 115523.68, 115523.68,180429.58, 2379.57, 117903.25, 182809.14, 178050.01, -0.04, True, 8563.77
73.76,0.50, 1375.83, 65258.82, 115523.68, 115523.68,180782.50, 2388.77, 117912.44, 183171.26, 178393.73, -0.03, True, 8561.04
74.26,0.50, 1387.63, 64857.18, 115523.68, 115523.68,180380.86, 2378.30, 117901.98, 182759.16, 178002.56, -0.01, True, 8564.50
74.76,0.50, 1399.44, 62193.02, 115523.68, 115523.68,177716.70, 2309.45, 117833.13, 180026.15, 175407.24, 0.01, True, 8586.49
75.26,0.50, 1411.24, 58401.81, 115523.68, 115523.68,173925.48, 2213.18, 117736.86, 176138.67, 171712.30, 0.03, True, 8617.67
75.76,0.50, 1423.05, 53513.87, 115523.68, 115523.68,169037.55, 2092.01, 117615.69, 171129.56, 166945.54, 0.05, True, 8657.71
76.26,0.50, 1434.85, 49848.83, 115523.68, 115523.68,165372.51, 2003.34, 117527.02, 167375.85, 163369.17, 0.07, True, 8687.70
76.76,0.50, 1446.66, 47119.20, 115523.68, 115523.68,162642.88, 1938.52, 117462.19, 164581.40, 160704.36, 0.09, True, 8710.04
77.26,0.50, 1458.46, 46666.38, 115523.68, 115523.68,162190.06, 1927.86, 117451.54, 164117.92, 160262.19, 0.11, True, 8713.86
77.76,0.50, 1470.27, 47226.28, 115523.68, 115523.68,162749.96, 1941.04, 117464.72, 164691.00, 160808.92, 0.12, True, 8709.46
78.26,0.50, 1482.08, 48968.38, 115523.68, 115523.68,164492.06, 1982.32, 117505.99, 166474.38, 162509.74, 0.14, True, 8695.46
78.76,0.50, 1493.88, 51678.57, 115523.68, 115523.68,167202.25, 2047.37, 117571.05, 169249.62, 165154.87, 0.16, True, 8673.58
79.26,0.50, 1505.69, 55078.98, 115523.68, 115523.68,170602.65, 2130.45, 117654.12, 172733.10, 168472.21, 0.18, True, 8646.04
79.76,0.50, 1517.49, 59451.22, 115523.68, 115523.68,174974.89, 2239.63, 117763.31, 177214.52, 172735.26, 0.20, True, 8610.53
80.26,0.50, 1529.30, 63712.80, 115523.68, 115523.68,179236.48, 2348.61, 117872.28, 181585.09, 176887.87, 0.22, True, 8575.84
80.76,0.50, 1541.10, 67089.38, 115523.68, 115523.68,182613.06, 2436.74, 117960.42, 185049.80, 180176.32, 0.24, True, 8548.34
81.26,0.50, 1552.91, 68273.56, 115523.68, 115523.68,183797.24, 2468.03, 117991.70, 186265.27, 181329.21, 0.26, True, 8538.80
81.76,0.50, 1564.71, 67496.15, 115523.68, 115523.68,183019.83, 2447.47, 117971.14, 185467.29, 180572.36, 0.28, True, 8545.34
82.26,0.50, 1576.52, 64438.52, 115523.68, 115523.68,179962.19, 2367.42, 117891.09, 182329.61, 177594.78, 0.30, True, 8570.56
82.76,0.50, 1588.33, 60609.86, 115523.68, 115523.68,176133.54, 2269.01, 117792.69, 178402.55, 173864.53, 0.32, True, 8602.03
83.26,0.50, 1600.13, 56370.32, 115523.68, 115523.68,171894.00, 2162.42, 117686.10, 174056.42, 169731.58, 0.33, True, 8636.77
83.76,0.50, 1611.94, 51987.87, 115523.68, 115523.68,167511.54, 2054.86, 117578.54, 169566.41, 165456.68, 0.35, True, 8672.59
84.26,0.50, 1623.74, 47303.47, 115523.68, 115523.68,162827.14, 1942.86, 117466.54, 164770.00, 160884.28, 0.37, True, 8710.78
84.76,0.50, 1635.55, 42347.34, 115523.68, 115523.68,157871.01, 1827.70, 117351.38, 159698.71, 156043.32, 0.39, True, 8751.06
85.26,0.50, 1647.35, 37763.41, 115523.68, 115523.68,153287.09, 1724.25, 117247.93, 155011.34, 151562.84, 0.40, True, 8788.23
85.76,0.50, 1659.16, 34929.96, 115523.68, 115523.68,150453.64, 1661.78, 117185.45, 152115.42, 148791.86, 0.42, True, 8811.22
86.26,0.50, 1670.96, 33480.85, 115523.68, 115523.68,149004.53, 1630.26, 117153.94, 150634.79, 147374.26, 0.44, True, 8823.03
86.76,0.50, 1682.77, 33958.96, 115523.68, 115523.68,149482.63, 1640.63, 117164.31, 151123.26, 147842.01, 0.45, True, 8819.32
87.26,0.50, 1694.58, 35807.78, 115523.68, 115523.68,151331.46, 1681.01, 117204.69, 153012.47, 149650.45, 0.47, True, 8804.56
87.76,0.50, 1706.38, 38351.73, 115523.68, 115523.68,153875.41, 1737.36, 117261.04, 155612.77, 152138.05, 0.49, True, 8784.19
88.26,0.50, 1718.19, 41581.13, 115523.68, 115523.68,157104.81, 1810.20, 117333.88, 158915.01, 155294.61, 0.50, True, 8758.26
88.76,0.50, 1729.99, 44734.72, 115523.68, 115523.68,160258.40, 1882.74, 117406.42, 162141.14, 158375.66, 0.52, True, 8732.91
89.26,0.50, 1741.80, 47487.02, 115523.68, 115523.68,163010.70, 1947.19, 117470.87, 164957.89, 161063.51, 0.54, True, 8710.78
89.76,0.50, 1753.60, 49429.21, 115523.68, 115523.68,164952.88, 1993.31, 117516.98, 166946.19, 162959.58, 0.56, True, 8695.19
90.26,0.50, 1765.41, 50855.11, 115523.68, 115523.68,166378.79, 2027.50, 117551.18, 168406.28, 164351.29, 0.58, True, 8683.78
90.76,0.50, 1777.21, 51788.87, 115523.68, 115523.68,167312.55, 2050.04, 117573.72, 169362.59, 165262.51, 0.59, True, 8676.36
91.26,0.50, 1789.02, 52195.79, 115523.68, 115523.68,167719.46, 2059.91, 117583.58, 169779.37, 165659.56, 0.61, True, 8673.21
91.76,0.50, 1800.83, 51483.18, 115523.68, 115523.68,167006.86, 2042.65, 117566.33, 169049.50, 164964.21, 0.63, True, 8679.14
92.26,0.50, 1812.63, 48951.70, 115523.68, 115523.68,164475.37, 1981.92, 117505.60, 166457.29, 162493.46, 0.65, True, 8699.82
92.76,0.50, 1824.44, 44654.94, 115523.68, 115523.68,160178.62, 1880.89, 117404.57, 162059.51, 158297.72, 0.67, True, 8734.73
93.26,0.50, 1836.24, 39185.36, 115523.68, 115523.68,154709.04, 1756.02, 117279.70, 156465.06, 152953.02, 0.68, True, 8779.02
93.76,0.50, 1848.05, 33789.53, 115523.68, 115523.68,149313.21, 1636.95, 117160.63, 150950.16, 147676.26, 0.70, True, 8822.60
