Vehicle Group      , Long haul , Regional delivery , Urban delivery , Municipal , Con-struction , Heavy Urban , Urban , Suburban , Interurban , Coach
53                 , ---       , 0.00              , 0.00           , ---       , ---           , ---         , ---   , ---      , ---        , ---
54                 , ---       , 0.00              , 0.00           , ---       , ---           , ---         , ---   , ---      , ---        , ---
1s                 , ---       , 0.34              , 0.00           , ---       , ---           , ---         , ---   , ---      , ---        , ---
1                  , ---       , 0.34              , 0.00           , ---       , ---           , ---         , ---   , ---      , ---        , ---
2                  , 0.50      , 0.34              , 0.00           , ---       , ---           , ---         , ---   , ---      , ---        , ---
3                  , ---       , 0.34              , 0.00           , ---       , ---           , ---         , ---   , ---      , ---        , ---
4                  , 0.50      , 0.34              , 0.00           , 0.00      , 0.00          , ---         , ---   , ---      , ---        , ---
5                  , 0.50      , 0.34              , 0.00           , ---       , 0.00          , ---         , ---   , ---      , ---        , ---
9                  , 0.50      , 0.34              , ---            , 0.00      , 0.00          , ---         , ---   , ---      , ---        , ---
10                 , 0.50      , 0.34              , ---            , ---       , 0.00          , ---         , ---   , ---      , ---        , ---
11                 , 0.50      , 0.34              , ---            , 0.00      , 0.00          , ---         , ---   , ---      , ---        , ---
12                 , 0.50      , 0.34              , ---            , ---       , 0.00          , ---         , ---   , ---      , ---        , ---
16                 , ---       , ---               , ---            , ---       , 0.00          , ---         , ---   , ---      , ---        , ---
31 / P31SD / P31DD , ---       , ---               , ---            , ---       , ---           , 0.30        , 0.30  , 0.30     , 0.30       , ---
32 / P32SD / P32DD , ---       , ---               , ---            , ---       , ---           , ---         , ---   , ---      , 0.30       , 0.30
33 / P33SD / P33DD , ---       , ---               , ---            , ---       , ---           , 0.30        , 0.30  , 0.30     , 0.30       , ---
34 / P34SD / P34DD , ---       , ---               , ---            , ---       , ---           , ---         , ---   , ---      , 0.30       , 0.30
35 / P35SD / P35DD , ---       , ---               , ---            , ---       , ---           , 0.30        , 0.30  , 0.30     , 0.30       , ---
36 / P36SD / P36DD , ---       , ---               , ---            , ---       , ---           , ---         , ---   , ---      , 0.30       , 0.30
37 / P37SD / P37DD , ---       , ---               , ---            , ---       , ---           , 0.30        , 0.30  , 0.30     , 0.30       , ---
38 / P38SD / P38DD , ---       , ---               , ---            , ---       , ---           , ---         , ---   , ---      , 0.30       , 0.30
39 / P39SD / P39DD , ---       , ---               , ---            , ---       , ---           , 0.30        , 0.30  , 0.30     , 0.30       , ---
40 / P40SD / P40DD , ---       , ---               , ---            , ---       , ---           , ---         , ---   , ---      , 0.30       , 0.30
