Vehicle Group  , Is Electric   , Cabin Type , Engine Rated Power Min [kw] , Engine Rated Power Max [kW] , Electric Range [m] , Weighting Group
1s             , 0             , DayCab     , 0                           , 999999                      , 999999999          , 1s
1s             , 0             , SleeperCab , 0                           , 999999                      , 999999999          , 1s
1              , 0             , DayCab     , 0                           , 999999                      , 999999999          , 1
1              , 0             , SleeperCab , 0                           , 999999                      , 999999999          , 1
2              , 0             , DayCab     , 0                           , 999999                      , 999999999          , 2
2              , 0             , SleeperCab , 0                           , 999999                      , 999999999          , 2
3              , 0             , DayCab     , 0                           , 999999                      , 999999999          , 3
3              , 0             , SleeperCab , 0                           , 999999                      , 999999999          , 3
4              , 0             , DayCab     , 0                           , 170                         , 999999999          , 4-UD
4              , 0             , SleeperCab , 0                           , 170                         , 999999999          , 4-UD
4              , 0             , DayCab     , 170                         , 999999                      , 999999999          , 4-RD
4              , 0             , SleeperCab , 170                         , 265                         , 350000             , 4-RD
4              , 1             , SleeperCab , 170                         , 999999                      , 350000             , 4-RD
4              , 0             , SleeperCab , 265                         , 999999                      , 999999999          , 4-LH
4              , 1             , SleeperCab , 265                         , 999999                      , 999999999          , 4-LH
5              , 0             , DayCab     , 0                           , 999999                      , 999999999          , 5-RD
5              , 0             , SleeperCab , 0                           , 265                         , 350000             , 5-RD
5              , 1             , SleeperCab , 0                           , 999999                      , 350000             , 5-RD
5              , 0             , SleeperCab , 265                         , 999999                      , 999999999          , 5-LH
5              , 1             , SleeperCab , 265                         , 999999                      , 999999999          , 5-LH
9              , 0             , DayCab     , 0                           , 999999                      , 999999999          , 9-RD
9              , 1             , SleeperCab , 0                           , 999999                      , 350000             , 9-RD
9              , 0             , SleeperCab , 0                           , 999999                      , 999999999          , 9-LH
9              , 1             , SleeperCab , 0                           , 999999                      , 999999999          , 9-LH
10             , 0             , DayCab     , 0                           , 999999                      , 350000             , 10-RD
10             , 1             , DayCab     , 0                           , 999999                      , 350000             , 10-RD
10             , 1             , SleeperCab , 0                           , 999999                      , 350000             , 10-RD
10             , 0             , SleeperCab , 0                           , 999999                      , 999999999          , 10-LH
10             , 1             , SleeperCab , 0                           , 999999                      , 999999999          , 10-LH
11             , 0             , DayCab     , 0                           , 999999                      , 999999999          , 11
11             , 0             , SleeperCab , 0                           , 999999                      , 999999999          , 11
12             , 0             , DayCab     , 0                           , 999999                      , 999999999          , 12
12             , 0             , SleeperCab , 0                           , 999999                      , 999999999          , 12
16             , 0             , DayCab     , 0                           , 999999                      , 999999999          , 16
16             , 0             , SleeperCab , 0                           , 999999                      , 999999999          , 16
#
51             , 0             , DayCab     , 0                           , 999999                      , 999999999          , 51
51             , 0             , SleeperCab , 0                           , 999999                      , 999999999          , 51
52             , 0             , DayCab     , 0                           , 999999                      , 999999999          , 52
52             , 0             , SleeperCab , 0                           , 999999                      , 999999999          , 52
53             , 0             , DayCab     , 0                           , 999999                      , 999999999          , 53
53             , 0             , SleeperCab , 0                           , 999999                      , 999999999          , 53
54             , 0             , DayCab     , 0                           , 999999                      , 999999999          , 54
54             , 0             , SleeperCab , 0                           , 999999                      , 999999999          , 54
55             , 0             , DayCab     , 0                           , 999999                      , 999999999          , 55
55             , 0             , SleeperCab , 0                           , 999999                      , 999999999          , 55
56             , 0             , DayCab     , 0                           , 999999                      , 999999999          , 56
56             , 0             , SleeperCab , 0                           , 999999                      , 999999999          , 56
#
31a            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 31-LF
31b1           , 0             , DayCab     , 0                           , 999999                      , 999999999          , 31-L1
31b2           , 0             , DayCab     , 0                           , 999999                      , 999999999          , 31-L2
31c            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 31-DD
31d            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 31-LF
31e            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 31-DD
32a            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 32-C2
32b            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 32-C2
32c            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 32-C3
32d            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 32-C3
32e            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 32-DD
32f            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 32-DD
33a            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 33-LF
33b1           , 0             , DayCab     , 0                           , 999999                      , 999999999          , 33-L1
33b2           , 0             , DayCab     , 0                           , 999999                      , 999999999          , 33-L2
33c            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 33-DD
33d            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 33-LF
33e            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 33-DD
34a            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-C2
34b            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-C2
34c            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-C3
34d            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-C3
34e            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-DD
34f            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-DD
35a            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 35-FE
35b1           , 0             , DayCab     , 0                           , 999999                      , 999999999          , 35-FE
35b2           , 0             , DayCab     , 0                           , 999999                      , 999999999          , 35-FE
35c            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 35-FE
36a            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-C2
36b            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-C2
36c            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-C3
36d            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-C3
36e            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-DD
36f            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-DD
37a            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 33-LF
37b1           , 0             , DayCab     , 0                           , 999999                      , 999999999          , 33-L1
37b2           , 0             , DayCab     , 0                           , 999999                      , 999999999          , 33-L2
37c            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 33-DD
37d            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 33-LF
37e            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 33-DD
38a            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-C2
38b            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-C2
38c            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-C3
38d            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-C3
38e            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-DD
38f            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-DD
39a            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 39-FE
39b1           , 0             , DayCab     , 0                           , 999999                      , 999999999          , 39-FE
39b2           , 0             , DayCab     , 0                           , 999999                      , 999999999          , 39-FE
39c            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 39-FE
40a            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-C2
40b            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-C2
40c            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-C3
40d            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-C3
40e            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-DD
40f            , 0             , DayCab     , 0                           , 999999                      , 999999999          , 34-DD
