Vehicle Group , ADAS Combination , LongHaul      , LongHaul EMS  , Regional Delivery , Regional Delivery EMS , Urban Delivery
9             , 11/2             , -0.20%/-0.76% , -0.34%/-0.43% , -0.79%/-1.01%     , -0.89%/-1.22%         ,
#----------------------------------------------------------------------------------------------------------------------------
10            , 1                , -0.06%/-0.04% , -0.04%/-0.03% , -0.41%/-0.33%     , -0.32%/-0.25%         ,
10            , 2                , -0.03%/-0.08% , 0.00%/-0.05%  , -0.06%/-0.08%     , -0.05%/0.00%          ,
10            , 3                , -0.06%/-0.16% , -0.03%/-0.12% , -0.20%/-0.21%     , -0.16%/-0.11%         ,
10            , 4/1              , -0.19%/-0.48% , -0.25%/-0.11% , -0.25%/-0.65%     , -0.37%/-0.59%         ,
10            , 4/2              , -0.23%/-0.68% , -0.32%/-0.35% , -0.40%/-0.95%     , -0.56%/-0.90%         ,
10            , 5                , -0.08%/-0.12% , -0.04%/-0.08% , -0.47%/-0.41%     , -0.37%/-0.26%         ,
10            , 6                , -0.12%/-0.20% , -0.07%/-0.15% , -0.61%/-0.54%     , -0.48%/-0.36%         ,
10            , 7/1              , -0.24%/-0.52% , -0.29%/-0.14% , -0.66%/-0.98%     , -0.69%/-0.84%         ,
10            , 7/2              , -0.29%/-0.73% , -0.36%/-0.39% , -0.81%/-1.27%     , -0.88%/-1.15%         ,
10            , 8/1              , -0.21%/-0.54% , -0.25%/-0.14% , -0.30%/-0.71%     , -0.41%/-0.59%         ,
10            , 8/2              , -0.25%/-0.73% , -0.32%/-0.38% , -0.44%/-0.99%     , -0.59%/-0.90%         ,
10            , 9/1              , -0.24%/-0.61% , -0.27%/-0.20% , -0.41%/-0.82%     , -0.50%/-0.67%         ,
10            , 9/2              , -0.27%/-0.78% , -0.34%/-0.43% , -0.52%/-1.07%     , -0.66%/-0.96%         ,
10            , 10/1             , -0.26%/-0.58% , -0.29%/-0.17% , -0.71%/-1.04%     , -0.73%/-0.84%         ,
10            , 10/2             , -0.30%/-0.77% , -0.36%/-0.41% , -0.85%/-1.32%     , -0.91%/-1.16%         ,
10            , 11/1             , -0.30%/-0.65% , -0.31%/-0.23% , -0.82%/-1.14%     , -0.82%/-0.93%         ,
10            , 11/2             , -0.33%/-0.82% , -0.38%/-0.46% , -0.93%/-1.40%     , -0.98%/-1.22%         ,
