vehiclegroup , longhaul  , regionaldelivery , urbandelivery , municipalutility , construction
53           ,           , 2.8 / 2.5        , 2.7 / 2.6     ,                  ,
54           ,           , 2.8 / 2.5        , 2.7 / 2.6     ,                  ,
1s           ,           , 2.8 / 2.5        , 2.7 / 2.6     ,                  ,
1            ,           , 2.8 / 2.5        , 2.7 / 2.6     ,                  ,
2            , 1.9 / 2.4 , 2.8 / 2.5        , 2.7 / 2.6     ,                  ,
3            ,           , 2.8 / 2.5        , 2.7 / 2.6     ,                  ,
4            , 1.8 / 1.6 , 2.4 / 2.7        , 2.1 / 2.5     , 2.1 / 2.1        , 2.1 / 2.1
5            , 1.8 / 1.6 , 2.4 / 2.7        , 2.1 / 2.5     ,                  , 2.1 / 2.1
9            , 1.8 / 1.6 , 2.4 / 2.7        ,               , 2.1 / 2.1        , 2.1 / 2.1
10           , 1.8 / 1.6 , 2.4 / 2.7        ,               ,                  , 2.1 / 2.1
11           , 1.8 / 1.6 , 2.4 / 2.7        ,               , 2.1 / 2.1        , 2.1 / 2.1
12           , 1.8 / 1.6 , 2.4 / 2.7        ,               ,                  , 2.1 / 2.1
16           ,           ,                  ,               ,                  , 2.1 / 2.1
