HDV Class / Power,Long haul,Regional delivery,Urban delivery,Municipal utility,Construction,Heavy Urban,Urban,Suburban,Interurban,Coach
1,0,1.3,1.24,0,0,0,0,0,0,0
2,1.18,1.28,1.32,0,0,0,0,0,0,0
3,0,1.36,1.38,0,0,0,0,0,0,0
4,1.3,1.34,0,0,0,0,0,0,0,0
5,1.34,1.82,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
9,1.34,1.54,0,0,0,0,0,0,0,0
10,1.34,1.82,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0
