Technology,Long haul,Regional delivery,Urban delivery,Municipal utility,Construction,Heavy Urban,Urban,Suburban,Interurban,Coach
Baseline electric power consumption,1240,1055,974,974,975,0,0,0,0,0
LED lights,-50,-50,-50,-50,-50,0,0,0,0,0
